repository_full_name,name,owner,url,visibility,archived,default_branch,clone_url
"Am0rphous/Awesome","Awesome","Am0rphous","https://github.com/Am0rphous/Awesome","public","false","master","https://github.com/Am0rphous/Awesome.git"
"amalinda/awesome-list","awesome-list","amalinda","https://github.com/amalinda/awesome-list","public","false","main","https://github.com/amalinda/awesome-list.git"
"AmesianX/awesome-list","awesome-list","AmesianX","https://github.com/AmesianX/awesome-list","public","false","main","https://github.com/AmesianX/awesome-list.git"
"andai78/awesome-list","awesome-list","andai78","https://github.com/andai78/awesome-list","public","false","master","https://github.com/andai78/awesome-list.git"
"andrewanad/awesome-list","awesome-list","andrewanad","https://github.com/andrewanad/awesome-list","public","false","master","https://github.com/andrewanad/awesome-list.git"
"AndroidStudioIst/awesome-list","awesome-list","AndroidStudioIst","https://github.com/AndroidStudioIst/awesome-list","public","false","master","https://github.com/AndroidStudioIst/awesome-list.git"
"andyjud/awesome","awesome","andyjud","https://github.com/andyjud/awesome","public","false","main","https://github.com/andyjud/awesome.git"
"AngelDevIndie/awesome-list","awesome-list","AngelDevIndie","https://github.com/AngelDevIndie/awesome-list","public","false","main","https://github.com/AngelDevIndie/awesome-list.git"
"anjar-wilujeng/awesome-list","awesome-list","anjar-wilujeng","https://github.com/anjar-wilujeng/awesome-list","public","false","main","https://github.com/anjar-wilujeng/awesome-list.git"
"ansiabdo/awesome-list","awesome-list","ansiabdo","https://github.com/ansiabdo/awesome-list","public","false","main","https://github.com/ansiabdo/awesome-list.git"
"Archiso17/awesome-list","awesome-list","Archiso17","https://github.com/Archiso17/awesome-list","public","false","main","https://github.com/Archiso17/awesome-list.git"
"ardittirana/awesome-list","awesome-list","ardittirana","https://github.com/ardittirana/awesome-list","public","false","main","https://github.com/ardittirana/awesome-list.git"
"arishwani/awesome-list","awesome-list","arishwani","https://github.com/arishwani/awesome-list","public","false","main","https://github.com/arishwani/awesome-list.git"
"arpantw/awesome-list","awesome-list","arpantw","https://github.com/arpantw/awesome-list","public","false","main","https://github.com/arpantw/awesome-list.git"
"arphanetx/awesome-list","awesome-list","arphanetx","https://github.com/arphanetx/awesome-list","public","false","main","https://github.com/arphanetx/awesome-list.git"
"asekibaala/awesome-list","awesome-list","asekibaala","https://github.com/asekibaala/awesome-list","public","false","main","https://github.com/asekibaala/awesome-list.git"
"ashishkujoy/awesome-list","awesome-list","ashishkujoy","https://github.com/ashishkujoy/awesome-list","public","false","main","https://github.com/ashishkujoy/awesome-list.git"
